MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4
MINIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MINIMUM_IA_SMALL_CORE_FREQ,string,0,0,0,0,0,0,0,0
MINIMUM_IA_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0
MIN_THERMAL_DESIGN_POWER_RATE,string,0,0,0,0,0,0,0,0
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEMORY_TYPE_SUPPORTED,string,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5
MEMORY_MODULES_PER_CHANNEL,string,2,2,2,2,2,2,2,2
MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2
MEMORY_CAPACITY_UOM,string,GB,GB,GB,GB,GB,GB,GB,GB
MEMORY_CAPACITY,string,256,256,256,256,256,256,256,256
MEMORY_MAX_QCLK_MHZ,string,3200,3200,3200,3200,3600,3600,3200,3200
MEM_FREQ_UOM,string,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ
MEM_BUS_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
MEDIA_VEBOX,string,0,1,1,1,1,1,1,1
MEDIA_VDBOXES,string,0,1,1,1,1,1,1,1
MEDIA_SFC_INDICATOR,string,0,1,1,1,1,1,1,1
MEDIA_MAX_TURBO_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_MAX_TURBO_FREQ,string,0,1.35,1.35,1.35,1.35,1.35,1.35,1.35
MEDIA_LFM_FREQ,string,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MEDIA_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_HFM_FREQ,string,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
MAXIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAXIMUM_IA_SMALL_CORE_FREQ,string,0,0,0,0,0,0,0,0
MAXIMUM_IA_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0
MAX_USB2_LANES,string,10,10,10,10,10,10,10,10
MAX_TURBO_FREQ_UOM_CD,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TURBO_FREQ_RTE,string,3.6,3.8,3.8,3.8,3.6,3.8,3.6,4.1
MAX_TRGT_SCKT_CD,string,1S,1S,1S,1S,1S,1S,1S,1S
MAX_THRD_PER_PCSR_CNT,string,40,42,52,42,40,42,40,52
MAX_THERMAL_TURBO_FREQUENCY,string,3.5,3.7,3.7,3.7,3.5,3.7,3.5,4
MAX_THERMAL_DESIGN_POWER_RATE,string,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_9CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_9CORE_FREQ_RAT,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_8CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_8CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_7CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_7CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_6CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_6CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_5CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_5CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_4CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_4CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_3CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_3CORE_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_2CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_2CORE_FREQ_RATE,string,3.5,3.7,3.7,3.7,3.5,3.7,3.5,4
MAX_TEMP_TURBO_16CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_16CORE_FREQ_RAT,string,0,0,3.7,0,0,0,0,3.8
MAX_TEMP_TURBO_15CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_15CORE_FREQ_RAT,string,0,0,3.7,0,0,0,0,3.8
MAX_TEMP_TURBO_14CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_14CORE_FREQ_RAT,string,0,3.5,3.7,3.5,0,3.5,0,3.8
MAX_TEMP_TURBO_13CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_13CORE_FREQ_RAT,string,0,3.5,3.7,3.5,0,3.5,0,3.8
MAX_TEMP_TURBO_12CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_12CORE_FREQ_RAT,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_11CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_11CORE_FREQ_RAT,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_TURBO_10CORE_FREQ_RAT_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_10CORE_FREQ_RAT,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
MAX_TEMP_MAX_TURBO_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_MAX_TURBO_FREQ_RATE,string,3.5,3.7,3.7,3.7,3.5,3.7,3.5,4
MAX_PEG_LANE_CNT,string,16,16,16,16,16,16,16,16
