Group,Entity,UV_01,UV_02,UV_03,DIFF,UV_01_line,UV_02_line,UV_03_line,Symbolized,UV_01_symbols,UV_02_symbols,UV_03_symbols,OV_07,OV_08,OV_09,OV_07_line,OV_08_line,OV_09_line,OV_07_symbols,OV_08_symbols,OV_09_symbols,UV_01_CPU1,UV_02_CPU1,UV_03_CPU1,UV_01_CPU1_line,UV_02_CPU1_line,UV_03_CPU1_line,UV_01_CPU1_symbols,UV_02_CPU1_symbols,UV_03_CPU1_symbols,OV_07_CPU1,OV_08_CPU1,OV_09_CPU1,OV_07_CPU1_line,OV_08_CPU1_line,OV_09_CPU1_line,OV_07_CPU1_symbols,OV_08_CPU1_symbols,OV_09_CPU1_symbols
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.param.ConfigurationFile,,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.setpoints.json"",""./InputFiles/VLD_C1X.setpoints.json"")",PARTIAL,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.param.SetPoint,,,CXX_Undervolt03,PARTIAL,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03,,,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03,PARTIAL,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.edc,,,KILL,PARTIAL,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R-2,,,Return -2,PARTIAL,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R-1,,,Return -1,PARTIAL,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R0,,,Return 0,PARTIAL,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R1,,,GoTo FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE03,PARTIAL,,,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R2,,,Return 2,PARTIAL,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03.connectivity.R3,,,Return 0,PARTIAL,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
